Checking Pattern: #^/$# against URI: / | Match: YES
Checking Pattern: #^/admin/categories/create$# against URI: / | Match: NO
Checking Pattern: #^/admin/categories/edit$# against URI: / | Match: NO
Checking Pattern: #^/admin/categories/delete$# against URI: / | Match: NO
Checking Pattern: #^/admin/orders$# against URI: / | Match: NO
Checking Pattern: #^/admin/orders/show$# against URI: / | Match: NO
Checking Pattern: #^/admin/settings$# against URI: / | Match: NO
Checking Pattern: #^/admin/settings/general.php$# against URI: / | Match: NO
Checking Pattern: #^/admin/content$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs/create$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs/edit$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs/delete$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/pages$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/pages/edit$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/menus$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/menus/delete$# against URI: / | Match: NO
Checking Pattern: #^/$# against URI: / | Match: YES
Checking Pattern: #^/products$# against URI: / | Match: NO
Checking Pattern: #^/product/([^/]+)$# against URI: / | Match: NO
Checking Pattern: #^/cart$# against URI: / | Match: NO
Checking Pattern: #^/checkout$# against URI: / | Match: NO
Checking Pattern: #^/payment/success$# against URI: / | Match: NO
Checking Pattern: #^/payment/fail$# against URI: / | Match: NO
Checking Pattern: #^/admin/login$# against URI: / | Match: NO
Checking Pattern: #^/admin/logout$# against URI: / | Match: NO
Checking Pattern: #^/admin$# against URI: / | Match: NO
Checking Pattern: #^/admin/dashboard$# against URI: / | Match: NO
Checking Pattern: #^/admin/products$# against URI: / | Match: NO
Checking Pattern: #^/admin/products/create$# against URI: / | Match: NO
Checking Pattern: #^/admin/products/edit$# against URI: / | Match: NO
Checking Pattern: #^/admin/products/delete$# against URI: / | Match: NO
Checking Pattern: #^/admin/categories$# against URI: / | Match: NO
Checking Pattern: #^/admin/categories/create$# against URI: / | Match: NO
Checking Pattern: #^/admin/categories/edit$# against URI: / | Match: NO
Checking Pattern: #^/admin/categories/delete$# against URI: / | Match: NO
Checking Pattern: #^/admin/orders$# against URI: / | Match: NO
Checking Pattern: #^/admin/orders/show$# against URI: / | Match: NO
Checking Pattern: #^/admin/settings$# against URI: / | Match: NO
Checking Pattern: #^/admin/settings/general.php$# against URI: / | Match: NO
Checking Pattern: #^/admin/content$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs/create$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs/edit$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/blogs/delete$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/pages$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/pages/edit$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/menus$# against URI: / | Match: NO
Checking Pattern: #^/admin/content/menus/delete$# against URI: / | Match: NO
